init_node;term_node;capacity;length
1327;1326;5066.67;0.2
1328;1370;3733.33;0.15
1329;1328;1866.67;0.11
1330;1331;5066.67;0.05
1332;1335;7600;0.38
1333;1620;2800;0.18
1333;1625;2800;0.15
1334;645;2800;0.04
1334;1377;1866.67;0.03
1335;865;2533.33;0.14
1335;866;5066.67;0.08
1337;1338;5066.67;0.09
1338;1339;5066.67;0.08
1339;1340;11200;0.12
1340;959;8400;0.36
1341;1342;8400;0.01
1342;1343;11200;0.01
1345;1004;5066.67;0.21
1347;793;8400;0.12
1348;1616;8400;0.08
1349;574;1866.67;0.03
1349;1595;1866.67;0.11
1350;1329;7600;0.3
1352;786;8400;0.15
1352;1353;5066.67;0.13
1353;1354;7600;0.08
1354;1355;7600;0.06
1355;1356;2533.33;0.07
1355;1540;5066.67;0.18
1356;306;2533.33;0.06
1357;585;2533.33;0.06
1358;1360;5066.67;0.14
1359;1374;8400;0.31
1360;1140;2533.33;0.03
1360;1746;2800;0.21
1361;1362;7600;0.06
1362;1363;7600;0.07
1363;1364;7600;0.12
1365;1366;5066.67;0.02
1367;1365;7600;0.29
1368;369;2800;0.18
1370;767;2800;0.89
1370;1330;2800;0.25
1371;503;1866.67;0.02
1372;1416;2533.33;0.07
1373;1382;5066.67;0.12
1373;1543;5066.67;0.06
1374;1803;8400;0.02
1375;1735;2533.33;0.03
1376;1336;2800;0.05
1376;1377;2800;0.03
1377;645;2800;0.03
1377;1336;1866.67;0.04
1377;1443;2533.33;0.09
1378;1835;8400;0.14
1379;1380;7600;0.09
1380;1373;7600;0.12
1382;1383;5066.67;0.09
1383;1337;5066.67;0.13
1385;1378;5066.67;0.05
1386;1387;8400;0.05
1387;1388;10133.3;0.06
1388;1465;11200;0.05
1389;1463;5600;0.08
1390;1567;2533.33;0.01
1392;784;3733.33;0.03
1393;686;2800;0.02
1394;1393;2800;0.06
1395;1394;2800;0.05
1396;1225;2800;0.26
1397;1395;2800;0.14
1399;1119;5066.67;0.51
1400;1571;11200;0.09
1401;945;5066.67;0.03
1402;800;5066.67;0.1
1403;785;5600;0.12
1404;1174;6000;0.1
1405;1570;5066.67;0.14
1406;1401;5066.67;0.1
1407;1408;2800;0.12
1410;1409;2800;0.15
1411;1412;5600;0.08
1412;1417;5600;0.08
1413;1416;2800;0.06
1415;1530;2533.33;0.01
1416;1417;3733.33;0.18
1417;1418;11200;0.03
1418;1419;8400;0.06
1419;1420;8400;0.09
1422;1423;11200;0.09
1423;1425;8400;0.09
1423;1432;2800;0.27
1424;1425;2800;0.05
1425;1429;11200;0.05
1426;1427;8400;0.09
1427;1428;1866.67;0.03
1427;1455;8400;0.08
1428;1440;2800;0.32
1429;1431;8400;0.07
1430;1431;2800;0.08
1431;1433;8400;0.24
1432;582;2800;0.09
1433;1434;8400;0.08
1434;1435;8400;0.05
1435;1436;11200;0.04
1436;1460;8400;0.06
1436;1812;2533.33;0.08
1437;248;2800;0.12
1438;1451;2533.33;0.08
1439;1437;2800;0.02
1439;1467;8400;0.08
1440;1452;5600;0.02
1441;1442;2533.33;0.02
1442;1456;5066.67;0.08
1443;1453;1866.67;0.03
1443;1620;1866.67;0.05
1444;1321;2800;0.06
1444;1324;5066.67;0.13
1444;1983;5066.67;0.02
1446;454;5600;0.04
1447;1454;2533.33;0.01
1447;1459;2800;0.02
1448;1449;1866.67;0.02
1449;1442;1866.67;0.03
1450;1451;2800;0.04
1451;1447;5066.67;0.09
1452;970;2533.33;0.17
1452;1455;2800;0.29
1453;648;1866.67;0.02
1454;1468;2533.33;0.04
1455;1461;8400;0.1
1456;1819;1866.67;0.07
1456;1820;2800;0.06
1457;835;2800;0.15
1458;1457;2800;0.02
1459;1458;2800;0.03
1460;1462;8400;0.12
1461;1524;8400;0.77
1462;594;11200;0.02
1463;1378;5600;0.08
1464;1826;5066.67;0.05
1465;1136;8400;0.07
1465;1474;2533.33;0.02
1466;567;3733.33;0.14
1467;1575;8400;0.1
1468;1469;2533.33;0.07
1469;1471;2533.33;0.04
1470;1471;2800;0.04
1471;1472;5066.67;0.01
1472;1473;5066.67;0.04
1473;1385;5066.67;0.07
1474;1481;2800;0.36
1475;1136;2800;0.12
1476;1478;11200;0.08
1477;1482;2800;0.2
1478;1477;2800;0.06
1478;1490;8400;0.17
1479;1488;1866.67;0.07
1480;970;2533.33;0.13
1481;1483;2800;0.04
1482;1483;2800;0.02
1483;1484;5066.67;0.03
1484;1485;5066.67;0.04
1485;1486;5066.67;0.02
1486;1487;5066.67;0.02
1489;1490;2800;0.03
1490;1491;11200;0.06
1491;1559;11200;0.04
1492;1493;2533.33;0.47
1493;1495;2533.33;1.51
1494;1496;1866.67;0.02
1496;1497;1866.67;0.33
1497;1499;2533.33;0.13
1499;1505;2533.33;0.41
1501;314;1866.67;0.02
1501;1504;1866.67;0.02
1502;1509;2533.33;0.16
1503;1522;2533.33;0.03
1504;309;2533.33;0.04
1504;933;2533.33;0.01
1504;1502;2533.33;0.05
1505;1503;2533.33;0.06
1506;1361;7600;0.04
1507;1516;2533.33;0.09
1508;1501;2533.33;0.11
1509;1510;2533.33;0.16
1510;1511;2533.33;0.18
1511;1512;2533.33;0.09
1512;1513;2533.33;0.05
1513;1514;2533.33;0.03
1514;1516;2533.33;0.04
1515;1519;2533.33;0.22
1516;1508;2533.33;0.67
1516;1515;2533.33;0.09
1517;1728;7600;0.08
1518;792;2800;0.08
1518;947;2800;0.4
1519;1507;2533.33;0.22
1519;1522;2533.33;0.11
1519;1537;2800;0.26
1520;1522;5600;0.05
1522;1500;2533.33;0.09
1522;1519;2533.33;0.18
1522;1526;2800;0.23
1523;1519;5600;0.03
1524;1525;8400;0.1
1525;1526;8400;0.04
1525;1529;2800;0.02
1526;1528;8400;0.11
1527;938;2800;0.09
1528;935;8400;3.57
1529;1520;2800;0.21
1531;448;5600;0.5
1532;1533;8400;0.04
1533;1534;8400;0.06
1534;1535;8400;0.04
1534;1538;2800;0.02
1535;1536;8400;0.1
1536;366;8400;0.87
1537;1535;2800;0.03
1538;1539;2800;0.02
1539;1523;2800;0.19
1540;979;5066.67;0.75
1542;1758;5600;0.06
1543;1506;5066.67;0.56
1544;1548;1866.67;0.12
1544;1549;1866.67;0.09
1545;904;2800;0.05
1546;1547;1866.67;0.77
1549;1548;1866.67;0.04
1550;1544;1866.67;0.1
1552;1551;1866.67;0.18
1552;1553;1866.67;0.16
1553;1552;1866.67;0.16
1554;1555;8400;0.1
1555;1556;2800;0.05
1555;1951;8400;0.07
1556;254;2800;0.28
1557;251;1866.67;0.03
1557;1558;2800;0.03
1558;1560;2800;0.25
1559;1850;5066.67;0.25
1559;1972;5600;0.25
1560;265;8400;0.09
1561;1560;8400;0.07
1562;1748;1866.67;0.38
1564;879;5600;0.36
1565;1578;8400;0.21
1567;351;5066.67;0.01
1567;356;1866.67;0.03
1568;1909;1866.67;0.09
1569;1565;1866.67;0.07
1570;1400;5066.67;0.03
1571;1678;11200;0.1
1572;1386;8400;0.06
1573;1572;7600;0.06
1574;1596;8400;0.2
1575;1027;8400;0.34
1576;249;11200;0.79
1577;415;8400;0.11
1578;1583;8400;0.63
1579;1577;5600;0.04
1580;1183;2800;0.24
1580;1579;5600;0.03
1581;1582;8400;0.12
1582;662;11200;0.33
1583;1581;8400;1.84
1585;354;2800;0.03
1586;1219;2800;0.29
1587;278;5600;0.04
1588;406;5600;0.01
1588;956;2800;0.09
1589;1197;8400;0.05
1590;276;8400;0.08
1591;1592;2533.33;0.05
1592;1246;2533.33;0.38
1593;351;2533.33;0.14
1594;351;1866.67;0.04
1595;562;5066.67;0.09
1596;263;8400;0.27
1596;524;1866.67;0.1
1597;1390;2533.33;0.06
1598;1597;2533.33;0.4
1600;1757;5600;0.07
1601;688;2533.33;0.49
1603;622;2800;0.04
1604;1048;5600;0.07
1605;461;8400;0.36
1606;1605;2800;0.08
1607;1745;5066.67;0.09
1608;1609;2800;0.05
1609;622;8400;0.09
1611;1612;2533.33;0.08
1611;1613;2800;0.1
1612;636;2533.33;0.07
1613;445;2800;0.18
1614;670;2800;0.05
1614;1034;2800;0.13
1615;1132;2800;0.27
1615;1235;2800;0.49
1618;1114;3733.33;0.23
1619;1049;2533.33;0.12
1619;1059;8400;0.22
1620;648;1866.67;0.02
1620;1334;1866.67;0.19
1620;1563;1866.67;0.03
1621;1622;1866.67;0.1
1621;1641;2533.33;0.04
1623;1641;5066.67;0.04
1625;1563;2800;0.04
1626;1864;2800;0.18
1627;604;5600;0.07
1628;1629;11200;0.32
1629;605;2800;0.03
1629;712;8400;0.07
1630;1239;2800;0.04
1631;1271;2800;0.43
1632;721;2800;0.21
1634;705;2800;0.01
1635;693;8400;1.44
1636;724;11200;0.12
1639;870;8400;0.23
1641;1624;2533.33;0.01
1641;1661;2533.33;0.11
1642;1624;1866.67;0.08
1642;1641;2533.33;0.03
1644;1639;5600;0.3
1645;754;5600;0.7
1646;1647;2800;0.02
1648;439;8400;0.53
1649;1376;2800;0.17
1651;820;3733.33;0.28
1652;833;5066.67;1.79
1653;302;5600;0.08
1654;1827;7466.67;0.02
1655;1306;8400;0.32
1657;847;8400;0.44
1658;841;8400;0.2
1659;1141;8400;0.02
1660;1642;1866.67;0.16
1663;371;2533.33;0.02
1663;1187;2800;0.04
1664;1708;8400;0.08
1665;498;2533.33;0.45
1665;1671;2533.33;1.31
1666;1683;2800;0.2
1666;1944;2533.33;0.09
1667;277;5066.67;0.03
1667;1664;8400;0.14
1669;1178;1866.67;0.03
1669;1566;5066.67;0.04
1671;1683;2533.33;0.02
1672;1665;2533.33;1.31
1673;807;1866.67;0.1
1674;1676;2533.33;0.07
1674;1682;2800;0.15
1675;1295;2533.33;0.22
1676;1675;5066.67;0.11
1678;1298;8400;0.36
1679;1677;8400;0.02
1681;332;5066.67;0.1
1681;1872;5066.67;0.04
1682;1676;2800;0.2
1682;1683;1866.67;0.18
1682;1686;2533.33;0.02
1683;1672;2533.33;0.02
1683;1682;1866.67;0.18
1683;1944;2800;0.15
1684;1682;2533.33;0.02
1685;853;11200;0.02
1688;1687;2800;0.09
1689;1202;11200;0.11
1690;1693;11200;0.09
1691;1692;11200;0.02
1692;1689;11200;0.09
1693;1206;11200;0.06
1694;1691;11200;0.23
1697;1943;2800;0.15
1699;869;5066.67;0.08
1699;1137;8400;0.36
1700;1130;2533.33;0.02
1701;1698;2533.33;0.15
1702;1926;2800;0.05
1703;805;11200;0.7
1704;1703;14000;0.15
1705;1704;5066.67;0.07
1708;1400;8400;0.08
1709;1249;14000;0.4
1710;1228;14000;0.35
1711;1227;2533.33;0.04
1712;1278;2800;0.14
1713;1268;2800;0.19
1714;1254;11200;0.15
1715;1716;2800;0.05
1716;1719;5066.67;0.1
1717;1715;2800;0.16
1718;1222;2800;0.24
1719;1721;2800;0.02
1720;1584;2533.33;0.04
1721;1282;2800;0.18
1722;1261;2800;0.02
1723;1223;5066.67;0.14
1724;1978;5600;0.74
1725;1978;2800;0.07
1726;1869;12666.7;0.23
1727;388;3733.33;0.03
1728;1732;7600;0.02
1729;1731;8400;0.12
1730;766;2800;0.02
1734;1738;8400;0.08
1735;255;5066.67;0.5
1736;1735;5066.67;0.43
1737;250;3733.33;0.03
1738;761;2800;0.05
1738;1739;5600;0.04
1739;1740;5600;0.04
1740;1741;5600;0.05
1742;598;5066.67;0.32
1744;1747;2800;0.04
1744;1754;2533.33;0.01
1745;967;2533.33;0.03
1745;1781;1866.67;0.12
1746;1822;2800;0.06
1747;1741;2800;0.26
1748;1749;1866.67;0.76
1749;914;2533.33;0.15
1750;1920;1866.67;0.92
1752;1753;1866.67;0.71
1753;1755;1866.67;0.26
1754;1730;5066.67;0.26
1754;1747;2800;0.02
1756;1573;5600;0.16
1757;1756;5066.67;0.15
1758;980;5600;1.42
1759;1761;5600;0.05
1760;1761;2533.33;0.08
1761;1762;5600;0.06
1762;1764;5600;0.01
1763;1764;2800;0.02
1764;1765;5600;0.09
1765;1766;5600;0.07
1766;1767;5600;0.1
1767;1768;5600;0.06
1768;1769;5600;0.03
1769;1770;5600;0.1
1770;1771;5600;0.09
1771;1772;5600;0.06
1772;1773;5600;0.1
1773;1774;5600;0.07
1774;1775;5600;0.04
1775;1776;5600;0.07
1776;1777;5600;0.08
1777;1778;5600;0.14
1778;1779;5600;0.15
1779;1782;5600;0.19
1781;1802;1866.67;0.04
1782;1734;5600;0.03
1783;1789;2533.33;0.11
1784;1783;1866.67;0.03
1785;372;2800;0.04
1785;920;2533.33;0.09
1785;1783;2533.33;0.03
1787;370;2800;0.08
1787;1789;2533.33;0.04
1789;370;2800;0.04
1789;375;2533.33;0.03
1789;1788;2533.33;0.04
1790;1791;8400;0.02
1791;1792;8400;0.04
1792;1793;8400;0.02
1793;376;2533.33;0.17
1793;1794;5600;0.05
1794;1795;5600;0.04
1795;1796;5600;0.03
1796;1759;5600;0.09
1797;1798;5600;0.01
1798;1790;5600;0.01
1800;1564;7600;0.19
1801;1799;1866.67;0.02
1803;1804;8400;0.05
1804;1805;8400;0.05
1805;468;2800;0.28
1805;1806;5600;0.06
1806;1799;5600;0.01
1807;1808;5600;0.18
1808;1181;1866.67;0.07
1808;1815;7600;0.02
1809;1810;2800;0.08
1810;1811;2800;0.07
1811;1834;2800;0.06
1812;722;2800;0.32
1812;1438;2533.33;0.04
1813;1834;2800;0.07
1814;1821;2800;0.03
1815;1181;3733.33;0.03
1815;1654;5600;0.02
1816;1817;8400;0.04
1817;585;8400;0.08
1818;937;5066.67;0.1
1819;1357;2533.33;0.13
1820;715;2800;0.15
1821;735;2800;0.92
1822;1019;2800;0.04
1823;1827;7600;0.02
1823;1829;1866.67;0.07
1824;1780;5066.67;0.02
1825;789;2800;0.3
1826;1736;5066.67;0.05
1827;1829;3733.33;0.03
1827;1897;7466.67;0.05
1828;739;8400;0.93
1830;1814;2800;0.04
1830;1825;2800;0.06
1831;1847;5066.67;0.49
1832;801;2800;0.05
1832;837;2533.33;0.19
1833;1832;5066.67;0.22
1834;787;5066.67;0.17
1835;1476;8400;0.91
1836;335;5066.67;0.06
1837;1843;2000;0.19
1838;435;5066.67;0.44
1839;1375;5066.67;0.44
1840;852;5066.67;0.04
1841;740;11200;0.05
1842;850;8400;0.15
1843;1842;8400;0.1
1844;1843;5600;0.17
1845;1837;2000;0.44
1846;743;1866.67;0.05
1846;746;1866.67;0.03
1847;727;2533.33;0.04
1847;729;2800;0.04
1848;1809;2800;0.27
1851;967;5066.67;0.02
1852;1855;2800;0.17
1853;601;5066.67;0.03
1854;1058;2800;0.02
1854;1856;3733.33;0.12
1855;1856;1866.67;0.02
1857;1073;2800;0.05
1857;1858;3733.33;0.11
1858;1865;5600;0.22
1859;1063;2533.33;0.04
1860;1859;2533.33;0.04
1860;1861;2800;0.02
1861;1862;2800;0.02
1862;1068;2800;0.09
1863;602;11200;0.04
1864;1911;2800;0.06
1865;1070;2800;0.03
1865;1071;3733.33;0.12
1866;1057;3733.33;0.12
1866;1867;2800;0.03
1867;1617;2800;0.53
1868;1072;2800;0.21
1869;581;2533.33;0.02
1870;644;5066.67;0.14
1871;1895;7600;0.32
1873;1097;2800;0.45
1873;1874;2800;0.03
1874;1108;2800;0.18
1875;1871;2533.33;0.05
1876;1893;2800;0.06
1877;1879;5066.67;0.07
1878;1879;5600;0.04
1880;1881;7600;0.08
1881;1077;2800;0.04
1881;1082;4000;0.24
1882;1098;5066.67;0.04
1884;1080;2800;0.15
1884;1085;5066.67;0.26
1886;1889;7600;0.13
1888;1961;3733.33;0.14
1889;348;5066.67;0.3
1889;1891;2800;0.05
1892;502;2800;0.19
1893;1043;2800;0.28
1895;1886;7600;0.17
1896;1680;11200;0.24
1897;1994;7466.67;0.04
1899;1900;3733.33;0.19
1900;1160;3733.33;0.31
1901;1956;5066.67;0.08
1902;1901;5066.67;0.02
1903;591;2533.33;0.03
1905;1906;3733.33;0.03
1906;877;3733.33;1.18
1907;1908;3733.33;0.02
1909;1914;1866.67;0.02
1910;1916;5600;0.04
1911;1918;1866.67;0.05
1912;273;5600;0.51
1913;1912;5600;0.01
1916;1917;1866.67;0.1
1916;1994;5600;0.05
1918;1919;1866.67;0.07
1919;1846;1866.67;0.12
1920;1751;2533.33;0.12
1921;846;1866.67;0.09
1922;1923;2800;0.03
1924;844;2800;0.11
1924;846;1866.67;0.1
1926;1928;2800;0.21
1928;1929;2800;0.02
1929;1930;5066.67;0.05
1930;1931;5066.67;0.01
1930;1932;2800;0.02
1931;628;5066.67;0.11
1932;1052;2800;0.25
1933;1934;2800;0.02
1933;1935;2800;0.03
1934;643;2800;0.1
1935;626;2800;0.24
1936;1026;2533.33;0.07
1937;1936;5066.67;0.06
1938;1966;3733.33;0.02
1941;1942;2533.33;0.02
1942;1943;2533.33;0.07
1942;1952;2800;0.13
1943;1696;2800;0.13
1943;1942;2533.33;0.07
1943;1958;2533.33;0.93
1944;1963;5066.67;0.04
1946;378;2800;0.1
1947;1946;2800;0.05
1947;1948;2533.33;0.03
1951;1439;11200;0.11
1953;379;2800;0.13
1955;1697;3733.33;0.25
1956;1321;2800;0.05
1956;1444;5066.67;0.03
1957;1943;1866.67;1.02
1958;1959;2533.33;0.07
1959;364;1866.67;0.07
1959;379;2533.33;0.02
1960;365;2800;0.06
1960;378;1866.67;0.05
1961;1971;1866.67;0.47
1964;1887;3733.33;0.14
1965;1674;5066.67;0.03
1966;1967;3733.33;0.02
1967;1890;3733.33;0.32
1968;1727;3733.33;0.08
1969;388;1866.67;0.05
1971;1965;5066.67;0.08
1972;1180;5066.67;0.08
1974;1975;5600;0.02
1976;1977;1866.67;0.02
1977;1974;8400;0.02
1978;1979;8400;0.12
1982;426;2800;0.05
1984;891;5600;1.27
1985;1984;5600;0.16
1986;890;5600;0.02
1986;1987;1866.67;0.06
1989;592;5066.67;0.07
1990;592;5066.67;0.05
1991;1992;8400;0.04
1992;1993;2800;0.03
1993;893;2800;0.32
1994;1917;3733.33;0.04
1996;1997;8400;0.07
1997;294;5600;0.09
1998;1999;2800;0.04
1998;2001;5600;0.04
1999;292;2800;0.04
2000;2001;2800;0.02
2001;2002;5600;0.05
2002;304;5600;0.74
